ring_ID,Week_Day,Month_Date,Month,Year,Time,Doorbot_Description,Kind,Detection_Type
6980609122155367000,Sat,03,Jul,2021,01:08:35,Front Door,motion,other_motion
6980616835916631000,Sat,03,Jul,2021,01:38:32,Front Door,motion,human
6980659094099856000,Sat,03,Jul,2021,04:22:31,Front Door,motion,other_motion
6980662018972585000,Sat,03,Jul,2021,04:33:53,Front Door,motion,other_motion
6980692453110844000,Sat,03,Jul,2021,06:31:58,Front Door,motion,human
6980692792413261000,Sat,03,Jul,2021,06:33:17,Front Door,motion,human
6980698844022181000,Sat,03,Jul,2021,06:56:46,Front Door,motion,human
6980699243454139000,Sat,03,Jul,2021,06:58:19,Front Door,motion,human
6980727968195415000,Sat,03,Jul,2021,08:49:48,Front Door,motion,human
6980731313974939000,Sat,03,Jul,2021,09:02:47,Front Door,motion,human
6980731584557878000,Sat,03,Jul,2021,09:03:49,Front Door,motion,human
6980732748494015000,Sat,03,Jul,2021,09:08:20,Front Door,motion,human
6980737352698957000,Sat,03,Jul,2021,09:26:12,Front Door,motion,human
6980738765743197000,Sat,03,Jul,2021,09:31:43,Front Door,motion,other_motion
6980739105045614000,Sat,03,Jul,2021,09:33:01,Front Door,motion,other_motion
6980739401398357000,Sat,03,Jul,2021,09:34:09,Front Door,motion,other_motion
6980739676276264000,Sat,03,Jul,2021,09:35:13,Front Door,motion,human
6980740226032078000,Sat,03,Jul,2021,09:37:22,Front Door,motion,human
6980740711363382000,Sat,03,Jul,2021,09:39:14,Front Door,motion,human
6980744108682513000,Sat,03,Jul,2021,09:52:27,Front Door,motion,human
6980746930476027000,Sat,03,Jul,2021,10:03:23,Front Door,motion,human
6980758565542432000,Sat,03,Jul,2021,10:48:33,Front Door,motion,human
6980763659373645000,Sat,03,Jul,2021,11:08:17,Front Door,motion,human
6980764174769720000,Sat,03,Jul,2021,11:10:18,Front Door,motion,human
6980766386677878000,Sat,03,Jul,2021,11:18:52,Front Door,motion,human
6980767945751006000,Sat,03,Jul,2021,11:24:55,Front Door,motion,human
6980768431082311000,Sat,03,Jul,2021,11:26:49,Front Door,motion,other_motion
6980772446876732000,Sat,03,Jul,2021,11:42:23,Front Door,motion,human
6980772872078495000,Sat,03,Jul,2021,11:44:02,Front Door,motion,other_motion
6980773284395355000,Sat,03,Jul,2021,11:45:39,Front Door,motion,human
6980773868510907000,Sat,03,Jul,2021,11:47:56,Front Door,motion,other_motion
6980774774749007000,Sat,03,Jul,2021,11:51:26,Front Door,motion,human
6980775041036979000,Sat,03,Jul,2021,11:52:27,Front Door,motion,human
6980775513483382000,Sat,03,Jul,2021,11:54:18,Front Door,motion,human
6980775912915340000,Sat,03,Jul,2021,11:55:51,Front Door,motion,human
6980776299462397000,Sat,03,Jul,2021,11:57:20,Front Door,motion,human
6980777454808600000,Sat,03,Jul,2021,12:01:49,Front Door,motion,human
6980777987384544000,Sat,03,Jul,2021,12:03:54,Front Door,motion,human
6980778270852386000,Sat,03,Jul,2021,12:04:59,Front Door,motion,human
6980778880737742000,Sat,03,Jul,2021,12:07:21,Front Door,motion,human
6980779318824406000,Sat,03,Jul,2021,12:09:03,Front Door,motion,human
6980780027494010000,Sat,03,Jul,2021,12:11:48,Front Door,motion,human
6980784361116012000,Sat,03,Jul,2021,12:28:37,Front Door,motion,human
6980786530074496000,Sat,03,Jul,2021,12:37:01,Front Door,motion,human
